,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
4563,99999,4,1,1,0,9,2,1,1,2,2,2,2,5000,3,2,2,2,2,2,1,1,1,35,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,10,6496,9,79700,79,2153,3230,42,1
4564,16940,1,1,1,2,9,2,2,1,1,2,2,2,255000,2,2,2,2,2,1,1,3,5,80,1,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4790,25,76700,72,1456,2042,33,1
4565,16940,1,1,1,2,9,2,2,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,99,2,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,3273,29,76700,55,621,1617,76,1
4566,16220,4,1,1,1,9,2,1,1,2,2,2,2,5000,3,2,2,2,2,1,1,3,5,40,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,6,10,4387,14,75800,79,1080,1734,60,1
4567,16940,1,1,1,2,2,2,2,32,1,2,2,2,275000,2,2,2,2,2,1,1,3,5,137,3,2,2,2,2,2,5,5,2,2,2,1,2,2,2,2,1,10,2497,15,76700,111,587,746,32,1
4568,16940,0,1,1,1,1,2,1,1,1,2,2,2,195000,2,2,2,2,2,1,1,3,5,74,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,6053,21,76700,96,1425,2501,56,1
4569,16940,2,1,1,1,2,2,3,1,1,2,2,2,355000,2,2,2,2,2,1,1,3,5,50,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,1
4570,16940,2,1,1,1,72,2,3,1,1,2,2,2,225000,2,2,2,2,2,1,1,3,5,89,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,1
4571,16940,0,1,1,0,1,2,1,1,1,2,2,2,95000,2,2,2,2,2,1,1,3,5,130,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4332,18,76700,89,742,1804,76,1
4572,0,0,1,1,2,0,2,1,1,1,2,2,2,275000,3,2,2,2,2,1,2,3,5,158,8,8,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,6,0,0,0,0,0,0,0,0
4573,16940,2,1,1,0,2,2,3,1,1,2,2,2,265000,2,2,2,2,2,1,1,3,5,67,2,1,2,2,2,2,5,5,2,2,2,2,2,2,1,1,1,10,8158,9,76700,113,2682,3341,23,1
4574,16940,2,1,1,1,2,2,3,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,57,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,1
4575,16940,0,1,1,0,3,2,1,1,1,2,2,2,425000,2,2,2,2,2,1,1,3,5,72,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4237,5,76700,117,1459,1812,23,1
4576,16940,1,0,1,0,2,2,2,1,1,2,2,2,185000,2,2,2,2,2,1,1,3,5,88,3,2,1,1,2,2,5,5,2,2,2,2,2,2,1,1,1,10,6174,32,76700,53,1515,2251,27,1
4577,16940,0,1,1,2,3,2,1,1,1,2,2,2,365000,2,2,2,2,2,1,1,3,5,120,1,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4344,45,76700,64,922,2286,55,1
4578,16940,0,1,1,2,71,2,1,1,1,2,2,1,85000,3,2,2,2,2,1,3,3,5,156,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,6174,32,76700,53,1515,2251,27,1
4579,16940,0,1,1,2,3,2,1,1,1,2,2,2,465000,2,2,2,2,2,1,1,3,5,110,2,1,2,2,2,2,5,5,2,2,2,1,2,2,1,1,2,10,4237,5,76700,117,1459,1812,23,1
4580,99999,1,1,1,2,0,2,2,1,1,2,2,2,195000,2,2,2,2,2,1,1,3,5,47,3,1,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,3523,6,79700,98,1044,2138,40,1
4581,16940,0,1,1,1,1,2,1,1,1,2,2,2,185000,2,2,2,2,2,1,1,3,5,53,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8555,17,76700,111,2040,2810,38,1
4582,16940,1,1,1,1,2,2,2,1,1,2,2,2,155000,2,2,2,2,2,1,1,3,5,92,3,3,2,2,2,2,5,5,2,2,1,1,2,2,1,1,1,10,4344,45,76700,64,922,2286,55,1
4583,99999,1,1,1,2,2,2,2,32,1,2,2,2,225000,2,2,2,2,2,1,1,3,5,123,2,9,2,2,2,2,5,5,2,2,1,2,2,2,2,2,1,10,3739,14,79700,123,1029,1332,37,1
4584,99999,0,1,1,0,0,2,1,1,1,2,2,2,195000,3,2,2,2,2,1,1,3,5,48,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,3,1,3,6987,19,79700,112,1446,2284,25,0
