,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
552,552,31084,1,0,1,2,71,2,2,31,1,2,2,2,455000,3,2,2,2,2,1,1,3,5,0,2,9,1,1,2,2,5,5,2,2,2,1,2,2,2,1,6,10,8088,63,73100,97,1437,1975,36,0
1552,1552,40900,4,1,1,2,0,2,1,2,2,2,1,2,45000,3,2,1,2,2,1,1,3,5,37,8,9,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,1,8112,19,84000,110,1981,2662,40,1
1002,1002,41740,4,1,1,0,0,2,1,31,2,2,1,2,205000,3,2,2,2,2,1,1,3,5,200,8,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,6,2425,26,86300,244,742,887,28,1
518,518,31084,0,1,1,0,6,2,1,1,1,2,2,2,565000,3,2,2,2,2,1,1,3,5,164,1,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,3932,44,73100,97,905,1206,55,0
1166,1166,37100,4,0,1,2,0,2,1,31,2,2,1,2,85000,3,2,1,2,2,1,1,3,5,140,1,9,1,1,2,2,5,5,2,2,1,2,2,2,2,1,6,10,3932,40,97800,157,965,1295,12,1
1456,1456,42100,4,1,0,1,0,2,1,1,2,2,1,2,205000,3,2,1,2,2,1,1,3,5,180,1,10,2,5,2,4,3,8,2,4,1,5,2,4,2,1,6,9,6385,14,98000,185,1723,2433,43,1
236,236,31084,0,0,1,2,0,2,1,32,1,2,2,2,435000,3,2,2,2,2,1,1,3,5,108,9,8,1,1,2,2,5,5,2,2,1,2,2,2,2,1,1,4,3915,97,73100,69,516,968,70,1
1087,1087,11244,4,1,1,2,0,2,1,2,2,2,1,2,25000,3,2,2,2,2,1,1,3,5,142,8,9,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,1,6602,34,97900,192,1707,1825,17,1
222,222,31084,0,0,1,0,6,2,1,32,1,2,2,2,305000,3,2,2,2,2,1,1,3,5,72,2,10,1,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,4995,99,73100,55,407,1303,76,0
1416,1416,42034,4,1,1,2,71,2,1,31,2,2,1,2,105000,2,2,1,2,2,1,1,3,5,232,1,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,6278,39,151000,91,1562,2310,23,0
345,345,11244,2,1,1,1,71,2,3,1,1,2,2,2,655000,3,2,2,2,2,1,1,3,5,207,3,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,16970,66,97900,130,3015,3675,20,0
1258,1258,41884,4,1,1,0,71,2,1,1,2,2,1,2,145000,2,2,1,2,2,1,1,3,5,559,3,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,5085,55,133800,105,473,525,76,0
120,120,11244,4,1,1,2,0,2,1,32,2,2,2,2,55000,3,2,2,2,2,1,1,3,5,142,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,5,9,3002,60,97900,90,662,819,57,1
661,661,40140,0,0,1,0,6,2,1,1,1,2,2,2,285000,3,2,2,2,2,1,1,3,5,84,3,10,1,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,3603,55,69700,58,413,1067,41,0
588,588,0,0,2,1,2,1,2,1,32,1,2,2,2,355000,3,2,2,2,2,1,1,3,5,149,2,9,1,2,2,2,5,5,2,2,1,2,2,2,2,1,1,10,0,0,0,0,0,0,0,0
1608,1608,39820,4,1,1,2,0,2,1,2,2,2,1,2,55000,3,2,2,2,2,1,2,3,5,215,9,8,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,4,2723,15,61900,177,664,837,18,1
989,989,41740,4,1,2,2,0,2,1,4,2,2,1,2,55000,3,2,2,2,2,1,1,3,5,73,9,8,2,2,2,2,5,2,2,2,1,2,2,2,1,1,6,1,2134,58,86300,117,131,358,39,1
62,62,11244,0,1,1,2,9,2,1,32,1,2,1,2,55000,2,2,2,2,2,1,1,3,5,77,3,1,2,2,2,2,5,5,2,2,2,1,2,2,1,1,5,10,3726,40,97900,163,1050,1178,55,0
1414,1414,42034,4,1,1,2,71,2,1,4,2,2,1,2,155000,2,2,1,2,2,1,1,3,5,422,3,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,5189,8,151000,117,1633,2295,60,0
811,811,31084,4,1,1,2,71,2,1,31,2,2,1,2,285000,2,2,1,2,2,1,1,3,5,198,2,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,2389,23,73100,186,559,1125,66,0
193,193,40140,0,1,1,1,71,2,1,32,1,2,2,2,285000,3,2,2,2,2,1,3,3,5,79,8,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,4682,92,69700,56,598,1138,43,0
235,235,31084,0,1,1,0,6,2,1,32,1,2,2,2,415000,3,2,2,2,2,1,1,3,5,147,3,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,2454,71,73100,148,593,731,56,0
181,181,31084,0,1,1,1,0,2,1,32,1,2,2,2,1055000,3,2,1,2,2,1,3,3,5,227,2,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,4,2057,37,73100,210,664,723,69,1
1306,1306,36084,4,1,1,1,0,2,1,4,2,2,1,2,105000,3,2,1,2,2,1,1,3,5,217,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,9,13467,78,111700,97,2808,3739,16,1
389,389,33700,0,1,0,0,0,2,1,1,1,2,2,2,125000,3,2,2,2,2,1,3,3,5,62,3,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,6435,82,64500,64,657,1676,57,1
1103,1103,11244,4,1,1,1,0,2,1,4,2,2,1,2,125000,3,2,1,2,2,1,1,3,5,221,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,5343,34,97900,161,1425,1708,28,1
521,521,40900,1,0,1,1,71,2,2,1,1,2,2,2,365000,3,2,2,2,2,1,1,3,5,87,8,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,6027,88,84000,71,923,1762,31,0
669,669,31084,0,1,1,2,6,2,1,1,1,2,2,2,525000,3,2,2,2,2,1,3,3,5,354,3,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,3479,39,73100,86,289,448,31,0
332,332,36084,0,1,2,2,71,2,1,1,1,2,2,2,935000,3,2,2,2,2,1,1,3,5,200,9,1,2,2,2,2,2,5,2,2,1,2,2,2,2,1,1,10,3580,36,111700,115,561,920,68,0
1214,1214,41500,4,1,1,0,71,2,1,1,2,2,1,2,145000,2,2,1,2,2,1,1,3,5,477,2,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,6139,22,74100,160,1663,2933,41,0
1264,1264,41884,4,1,1,1,0,2,1,4,2,2,2,2,55000,3,2,2,2,2,1,1,3,5,230,8,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,6,4,4667,94,133800,27,520,1081,39,1
1142,1142,11244,4,1,1,0,71,2,1,4,2,2,1,2,55000,2,2,1,2,2,1,1,3,5,100,3,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,4762,41,97900,107,1380,1601,36,0
1044,1044,40140,4,1,1,1,71,2,1,4,2,2,1,2,55000,2,2,1,2,2,1,1,3,5,146,2,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,8825,32,69700,194,1946,2832,13,0
382,382,41740,0,1,1,1,71,2,1,32,1,2,2,2,535000,3,2,2,2,2,1,3,3,5,262,2,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,2991,51,86300,67,307,1018,40,0
1368,1368,36084,4,1,1,2,0,2,1,2,2,2,1,2,205000,3,2,2,2,2,1,1,3,5,98,8,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,2,3073,30,111700,156,950,1004,47,1
1497,1497,33700,4,1,1,1,0,2,1,4,2,2,1,2,55000,3,2,1,2,2,1,1,3,5,97,3,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,9,5606,23,64500,133,1323,2115,44,1
331,331,31084,1,0,1,0,0,2,2,32,1,2,2,2,405000,3,2,2,2,2,1,1,3,5,80,1,9,1,1,2,2,5,5,2,2,2,2,2,2,2,1,1,3,5798,96,73100,96,660,1053,60,1
1102,1102,11244,4,1,1,2,71,2,1,1,2,2,1,2,505000,2,2,1,2,2,1,1,3,5,339,1,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,7075,27,97900,138,1867,2338,33,0
262,262,31084,1,0,1,2,0,2,2,1,1,2,2,2,685000,3,2,2,2,2,1,1,3,5,123,9,8,1,1,2,2,5,5,2,2,1,2,2,2,2,1,1,10,3850,57,73100,178,968,1202,47,1
893,893,31084,4,1,1,2,0,2,1,1,2,2,1,2,165000,3,2,1,2,2,1,1,3,5,528,1,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,5799,46,73100,171,1473,1620,0,1
6,6,40140,1,1,2,2,71,2,2,2,1,1,2,2,145000,2,2,2,2,2,1,1,3,5,37,7,7,2,2,2,2,5,3,2,2,2,1,2,2,1,2,6,10,2186,24,69700,62,864,1474,43,0
266,266,40140,0,0,1,1,0,2,1,32,1,2,2,2,115000,3,2,2,2,2,1,3,3,5,431,1,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,6,9,6495,69,69700,44,745,2069,51,1
769,769,31084,4,1,1,1,0,2,1,4,2,2,1,2,125000,3,2,1,2,2,1,1,3,5,163,3,9,2,2,2,2,5,5,2,2,1,1,2,2,2,1,6,1,4942,35,73100,228,1253,1879,72,1
38,38,31084,0,1,0,2,0,2,1,31,1,2,2,1,645000,3,2,2,1,2,1,3,3,5,231,2,2,2,2,1,1,3,3,1,1,1,2,1,1,1,1,5,10,3714,99,73100,52,210,776,70,0
901,901,31084,0,1,1,0,0,2,1,32,1,2,2,2,665000,3,2,2,2,2,1,1,3,5,158,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,2,9,3454,14,73100,226,1254,1531,47,1
1193,1193,42020,4,1,1,1,71,2,1,31,2,2,1,2,35000,2,2,1,2,2,1,1,3,5,131,1,9,2,2,2,2,5,5,2,2,1,1,2,2,2,1,6,10,9381,26,87500,116,2771,3961,26,0
1563,1563,46700,4,1,1,2,0,2,1,1,2,2,1,2,25000,3,2,1,2,2,1,1,3,5,165,2,9,2,2,2,2,5,5,2,2,2,1,2,2,2,1,6,1,4569,26,85700,168,1343,1699,32,1
545,545,31084,0,1,1,1,6,2,1,1,1,2,2,2,905000,3,2,2,2,2,1,1,3,5,208,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,3321,82,73100,58,297,479,45,0
118,118,11244,0,1,1,1,0,2,1,32,1,2,2,2,325000,3,2,2,2,2,1,1,3,5,150,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7471,86,97900,73,597,987,48,1
783,783,31084,4,1,1,1,71,2,1,1,2,2,1,2,335000,2,2,1,2,2,1,1,3,5,232,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,4494,48,73100,137,1294,1556,61,0
652,652,0,0,1,1,0,5,2,1,1,1,2,2,2,145000,3,2,2,2,2,1,3,3,5,237,3,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,0,0,0,0,0,0,0,0
995,995,41740,4,1,2,2,71,2,1,31,2,2,1,2,215000,2,2,1,2,2,1,1,3,5,165,1,9,2,2,2,2,3,3,2,2,1,2,2,2,2,1,6,10,8096,38,86300,137,2322,2748,37,0
706,706,31084,0,1,1,2,0,2,1,32,1,2,2,2,485000,3,2,2,2,2,1,1,3,5,98,9,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,7067,50,73100,202,2201,2290,52,1
105,105,11244,0,1,1,1,0,2,1,1,1,2,2,2,1785000,3,2,2,2,2,1,1,3,5,1343,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,2,1,10,8074,35,97900,141,1699,2111,31,1
1175,1175,42200,4,1,1,2,71,2,1,31,2,2,1,2,115000,2,2,1,2,2,1,1,3,5,242,1,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,3816,28,79300,125,851,1185,58,0
484,484,40140,0,0,1,1,1,2,1,32,1,2,2,2,355000,3,2,2,2,2,1,1,3,5,78,8,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,3718,64,69700,118,756,1062,0,0
1554,1554,99999,4,1,1,2,0,2,1,2,2,2,1,2,85000,3,2,1,2,2,1,1,3,5,83,8,9,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,4,4546,16,64800,132,1383,2130,34,1
