,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
3820,16220,1,1,1,0,9,2,2,1,1,2,2,2,245000,2,2,2,2,2,1,1,3,5,65,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,6087,10,75800,100,1851,2487,33,0
3821,16940,0,1,1,2,1,2,1,1,1,2,2,2,405000,2,2,2,2,2,1,1,3,5,131,5,1,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,8158,9,76700,113,2682,3341,23,0
3825,16220,1,1,1,0,9,2,2,1,1,2,2,2,75000,2,2,2,2,2,1,1,3,5,22,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4592,37,75800,47,859,1662,59,0
3827,16940,2,1,1,0,9,2,3,1,1,2,2,2,285000,2,2,2,2,2,1,1,3,5,57,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,6174,32,76700,53,1515,2251,27,0
3829,16220,1,1,1,2,9,2,2,1,1,2,2,2,205000,2,2,2,2,2,1,1,3,5,67,5,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4387,14,75800,79,1080,1734,60,0
3830,16220,0,1,1,2,3,2,1,1,1,2,2,2,205000,2,2,2,2,2,1,1,3,5,87,1,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,6087,10,75800,100,1851,2487,33,0
3831,16940,1,1,1,0,9,2,2,1,1,2,2,2,225000,2,2,2,2,2,1,1,3,5,66,5,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,0
3833,16220,1,1,1,1,9,2,2,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,33,5,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,4387,14,75800,79,1080,1734,60,0
3834,16220,0,1,1,2,1,2,1,1,1,2,2,2,295000,2,2,2,2,2,1,1,3,5,115,2,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4865,13,75800,106,1352,1802,29,0
3835,16220,1,1,1,0,9,2,2,1,1,2,2,2,135000,2,2,2,2,2,1,1,3,5,33,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
3836,16220,1,1,1,0,9,2,2,1,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,58,5,5,2,2,2,2,5,5,2,2,2,2,2,2,1,1,1,10,4791,12,75800,93,1272,1750,48,0
3837,16220,1,1,1,2,9,2,2,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,50,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,7178,6,75800,95,2007,3182,44,0
