,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
2287,0.05256867,0.35300353,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.009260974,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.086266391,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.383950505,0.424242424,0.768200837,0.443037975,0.400134725,0.418166713,0.776315789,0
2318,0.053281232,0.255402554,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.006297462,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083505866,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.583113456,0.505050505,0.818410042,0.308016878,0.490063995,0.631127112,0.789473684,0
2406,0.055303988,0.35300353,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.007779218,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084042635,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0.001801802,0.008108108,0.51442089,0.404040404,0.768200837,0.329113924,0.458740317,0.593464414,0.815789474,0
2428,0.055809677,0.148601486,0,0.5,0,0.5,0.125,1,0,0,0,0.000900901,0.000900901,0.000900901,0.009631413,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083659229,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.483486489,0.535353535,1,0.253164557,0.369147861,0.454167821,0.828947368,0
2462,0.056591196,0.148601486,0.2,0.5,0,1,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.011483608,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.08496281,0.000900901,0.000900901,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0,0.008108108,0.46547175,0.303030303,1,0.35443038,0.504883799,0.532816394,0.815789474,0
2464,0.056637168,0.255402554,0.2,0.5,0,0,0.125,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.005556585,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083582547,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.356655445,0.353535354,0.818410042,0.232067511,0.295722465,0.391581279,0.631578947,0
2483,0.0570739,0.35300353,0,0.5,0,0,0.986111111,1,0,0,0,0.000900901,0.000900901,0.000900901,0.010372291,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.087953378,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.643708489,0.747474747,0.768200837,0.244725738,0.306163691,0.319302132,0.552631579,0
2493,0.057303758,0.255402554,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008149657,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.08496281,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.321899736,0.585858586,0.818410042,0.210970464,0.168070057,0.348103019,0.697368421,0
2518,0.057878405,0.35300353,0.2,0.5,0,0,0.083333333,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008520096,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.087416609,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.651351105,0.272727273,0.768200837,0.392405063,0.629841698,0.643865965,0.631578947,0
2522,0.057970348,0.255402554,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.010001852,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.085039491,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.564097898,0.515151515,0.818410042,0.388185654,0.460761199,0.465245084,0.539473684,0
2538,0.058338122,0.255402554,0,0.5,0,0,0.083333333,1,0,0,0,0.000900901,0.000900901,0.000900901,0.018521949,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.09922552,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0.000900901,0.008108108,0.394049677,0.414141414,0.818410042,0.624472574,0.543954193,0.487399612,0.394736842,0
2547,0.058544995,0.255402554,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.006667901,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084579403,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.459193886,0.282828283,0.818410042,0.518987342,0.585382284,0.391581279,0.486842105,0
2554,0.058705896,0.255402554,0,0.5,0,0,0.986111111,1,0,0,0,0.000900901,0.000900901,0,0.008149657,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,1,0.001801802,0.003603604,0.084886128,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.244381767,0.595959596,0.818410042,0.253164557,0.083529808,0.187759623,1,0
2563,0.058912769,0.255402554,0.6,0.5,0,0,0.986111111,1,1,0,0,0.000900901,0.000900901,0.000900901,0.008890535,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084809447,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0.002702703,0.008108108,0.585842962,0.050505051,0.818410042,0.552742616,0.704951162,0.623096095,0.473684211,0
2568,0.059027698,0.255402554,0.2,0.5,0,0,0.125,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.005556585,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.08312246,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.455736512,0.98989899,0.818410042,0.265822785,0.389356686,0.539462753,0.907894737,0
2571,0.059096656,0.255402554,0,0.5,0,0,0.083333333,1,0,0,0,0.000900901,0.000900901,0.000900901,0.013706242,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.092630933,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.287416978,0.262626263,0.818410042,0.535864979,0.411586393,0.348103019,0.5,0
2597,0.059694288,0.255402554,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.007408779,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.085499578,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.487671731,0.404040404,0.818410042,0.594936709,0.689120916,0.624757685,0.486842105,0
2629,0.060429836,0.255402554,0.2,0.5,0,0.5,0.083333333,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008149657,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083889272,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.501501228,0.252525253,0.818410042,0.41350211,0.537554732,0.50955414,0.710526316,0
